fold,decision_date,n_symbols,rank_ic,top15_excess,top15_bottom15_spread,mae,mse,top15_overlap,top15_turnover,model,seed
confirmatory_2026,2026-01-12,426,0.20119862860868198,0.0335218965520702,0.03482948697960699,0.035452670027064925,0.002403089497838785,,,patch_10_stride_5,20260823
confirmatory_2026,2026-01-19,426,0.06588258577501654,0.04409154678374415,0.05808011354786752,0.03386006256059262,0.0021610122664441865,0.6,0.4,patch_10_stride_5,20260823
confirmatory_2026,2026-01-26,427,0.1992355542786364,0.017605570298008535,0.07390387755281529,0.03678266945063651,0.0026510209467761566,0.6666666666666666,0.3333333333333333,patch_10_stride_5,20260823
confirmatory_2026,2026-02-02,427,0.22653031718732802,0.033591781896053524,0.10041925381626265,0.057653171442895286,0.005668234303329364,0.8,0.2,patch_10_stride_5,20260823
confirmatory_2026,2026-02-09,427,0.14398309575547355,0.0029354854428031447,0.019550193347538075,0.045205104343889115,0.003951051878575488,0.7333333333333333,0.26666666666666666,patch_10_stride_5,20260823
confirmatory_2026,2026-02-16,427,0.17615683375571337,0.0338696306868718,0.054908968560387864,0.03771600169295824,0.0027245188739516953,0.6666666666666666,0.3333333333333333,patch_10_stride_5,20260823
confirmatory_2026,2026-02-23,427,0.00679779612252957,-0.0005225134260417328,0.010888597487472142,0.034834548575600824,0.002483796217820941,0.6,0.4,patch_10_stride_5,20260823
confirmatory_2026,2026-03-02,427,-0.5227792370894587,-0.07256908959076794,-0.19614226949708718,0.07981490273513347,0.009201903820334483,0.8,0.2,patch_10_stride_5,20260823
confirmatory_2026,2026-03-09,427,0.23596982538713204,0.07573309309708254,0.09708364068566289,0.0448620221629245,0.0029991231737484816,0.8,0.2,patch_10_stride_5,20260823
confirmatory_2026,2026-03-16,427,0.05496222316278551,0.03502580226193851,0.038515470963232185,0.03705525490751602,0.0024263878732730076,0.6,0.4,patch_10_stride_5,20260823
confirmatory_2026,2026-03-23,428,0.2659369994926555,0.009142418350556862,0.062084377227649874,0.03442489595602475,0.002181878118713204,0.8666666666666667,0.13333333333333333,patch_10_stride_5,20260823
confirmatory_2026,2026-03-30,428,-0.09500810205575029,-0.010946309127304543,-0.04569868592936156,0.050271517975773145,0.003805999823129061,0.8666666666666667,0.13333333333333333,patch_10_stride_5,20260823
confirmatory_2026,2026-04-06,428,0.20873916951747504,0.025759465019168315,0.08685074060881126,0.05268684770179098,0.004681108083805276,0.6666666666666666,0.3333333333333333,patch_10_stride_5,20260823
confirmatory_2026,2026-04-13,428,-0.3360942718993892,-0.02086916093289817,-0.07696805952060441,0.056678559923151815,0.005705585637339056,0.5333333333333333,0.4666666666666667,patch_10_stride_5,20260823
